,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
158,2022/03/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,183532.0875
161,2022/03/26,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,169938.663
164,2022/03/27,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179347.9986
167,2022/03/28,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,177058.7975
170,2022/03/29,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,171794.4737
173,2022/03/30,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,150836.0541
176,2022/03/31,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,150081.467
179,2022/04/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,170438.3603
182,2022/04/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,182117.4252
2,2022/04/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,170438.3603
5,2022/04/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,182117.4252
