,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
42,2022/2/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,515454.7808
45,2022/2/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,359106.6977
48,2022/2/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,348341.2221
51,2022/2/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,371020.5028
54,2022/2/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,393698.3987
57,2022/2/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,415868.2045
60,2022/2/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,423302.889
63,2022/2/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,407369.6369
66,2022/2/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,363208.9832
69,2022/2/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,369392.0343
72,2022/2/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,401295.3874
75,2022/2/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,417438.794
78,2022/2/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,401502.3707
81,2022/2/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,414767.9636
84,2022/3/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,418553.5151
87,2022/3/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,365911.7307
90,2022/3/3,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,398910.3412
93,2022/3/4,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,353957.6577
96,2022/3/5,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,427738.8855
99,2022/3/6,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,406456.0303
102,2022/3/7,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,400980.8901
105,2022/3/8,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,379366.26
108,2022/3/9,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,330389.3779
111,2022/3/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,338498.5259
114,2022/3/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,340097.604
117,2022/3/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,387901.5377
120,2022/3/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,377275.5524
123,2022/3/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,379703.5626
126,2022/3/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,439056.0124
129,2022/3/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,321088.096
132,2022/3/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,339408.7728
135,2022/3/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,327542.2837
138,2022/3/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,404691.1974
141,2022/3/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,378224.8429
144,2022/3/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,383734.438
147,2022/3/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,396661.4571
150,2022/3/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,325183.6354
153,2022/3/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,337507.8344
156,2022/3/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,403582.6404
159,2022/3/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,363800.187
162,2022/3/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,403961.438
165,2022/3/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,402502.4525
168,2022/3/29,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,377976.1954
171,2022/3/30,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,323484.8157
174,2022/3/31,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,338811.8398
177,2022/4/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,392460.0401
180,2022/4/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,385224.9517
0,2022/4/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,392460.0401
3,2022/4/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,385224.9517
